name,address
한솥도시락 고대원룸촌점,서울 성북구 개운사길 22-2 상희빌딩
큰소나무원룸,서울 성북구 고려대로27길 27
청암원룸,서울 성북구 인촌로27길 24-6
투유게스트하우스 원룸텔,서울 성북구 안암로 81
성연원룸,서울 성북구 고려대로26길 45-16
한이원룸,서울 성북구 고려대로16길 4-15
해피원룸,서울 성북구 고려대로30길 31
세원원룸,서울 성북구 개운사1길 16
고성원룸,서울 성북구 보문로26길 83-6
미덕원룸,서울 성북구 고려대로16길 6
해피원룸텔,서울 성북구 안암로 117 2층 해피원룸텔
경희원룸,서울 성북구 안암로9가길 29
미니하우스 원룸,서울 성북구 안암로 57
봄빛속 원룸,서울 성북구 안암로9가길 72
게스트하우스 고대원룸텔,서울 성북구 인촌로24길 60
소나무원룸,서울 성북구 개운사1길 22
세븐일레븐 성북고대원룸점,서울 성북구 고려대로27길 24-1
동이원룸,서울 성북구 고려대로26길 45-12
골든힐원룸,서울 성북구 인촌로27길 34-8
정우원룸,서울 성북구 인촌로27길 35
봄빛원룸,서울 성북구 고려대로22길 31
하버드원룸,서울 성북구 고려대로 110-29
하이원룸,서울 성북구 고려대로16길 4-13
롯데ATM CD 세븐일레븐 성북고대원룸,서울 성북구 인촌로27길 24-1
원룸하우스,서울 성북구 고려대로26길 26
라임하우스,서울 성북구 개운사길 76-18
고집 프리미엄고시텔,서울 성북구 고려대로24길 36 4층
안암하우스,서울 성북구 안암로9가길 80-17
마당발공인중개사사무소,서울 성북구 안암로 19 영화빌딩
스타힐스,서울 성북구 인촌로27길 34-10
굿스테이,서울 성북구 안암로 103 2층 3층
리슈빌동행공인중개사사무소,서울 성북구 고려대로7길 20 1층
인디하우스,서울 성북구 안암로 95-3
아성공인중개사사무소,서울 성북구 고려대로 25 아성공인중개사사무소
스테이즈부동산중개법인 고려대점,서울 성북구 고려대로 101 2층
재테크공인중개사,서울 성북구 고려대로 35-1
베스트부동산중개법인,서울 성북구 개운사길 22-2 1층
고대부동산공인중개사사무소,서울 성북구 고려대로24가길 8
하나공인중개사사무소,서울 성북구 고려대로 91-1
삼성공인중개사,서울 성북구 인촌로17가길 78 래미안안암 상가
파인트리 원룸,서울 동대문구 안암로22길 17
명성원룸,서울 성북구 화랑로13길 32
두리원룸,서울 종로구 종로66가길 33
ZAMee,서울 성북구 종암로9나길 44
뉴소나무원룸,서울 성북구 동소문로24길 13-17
스타트원룸텔,서울 성북구 보문로34길 69
애플원룸텔,서울 성북구 보문로34길 77
더스테이 원룸텔,"서울 동대문구 왕산로16길 9 4층,5층 더스테이 원룸텔"
미래원룸,서울 동대문구 안암로 134-6
동성원룸,서울 성북구 종암로3길 37-11
